name,price,href,size,color,rpm,airflow,noise_level,pwm
Lian Li Uni Fan SL-Infinity 3-Pack,76.98,https://pcpartpicker.com/product/WNbTwP/lian-li-uni-fan-sl-infinity-613-cfm-120-mm-fans-3-pack-uf-slin120-3b,120,Black,,"0,61.3","0,29",true
Noctua NF-A12x25 PWM chromax.black.swap,34.95,https://pcpartpicker.com/product/4q7G3C/noctua-nf-a12x25-pwm-chromaxblackswap-6009-cfm-120-mm-fan-nf-a12x25-pwm-chromaxblackswap,120,Black,"450,2000",60.09,22.6,true
Corsair iCUE SP120 RGB ELITE 3-Pack,49,https://pcpartpicker.com/product/wdmmP6/corsair-icue-sp120-rgb-elite-477-cfm-120-mm-fans-3-pack-co-9050109-ww,120,Black / White,"400,1500",,,true
Lian Li Uni Fan SL-Infinity 3-Pack,79,https://pcpartpicker.com/product/6kQcCJ/lian-li-uni-fan-sl-infinity-613-cfm-120-mm-fans-3-pack-uf-slin120-3w,120,White,,"0,61.3","0,29",true
Thermalright TL-C12C-S X3 3-Pack,13.59,https://pcpartpicker.com/product/vq6p99/thermalright-tl-c12c-s-x3-6617-cfm-120-mm-fans-3-pack-tl-c12c-s-x3-d6,120,Black,1550,66.17,25.6,true
Lian Li UNI FAN SL-INF Reverse Blade,27.3,https://pcpartpicker.com/product/ZRgrxr/lian-li-uni-fan-sl-inf-reverse-blade-636-cfm-120-mm-fan-rslin120-1b,120,White / Black,"200,2100",63.6,32,true
Thermalright TL-C12C X3 3-Pack,13.19,https://pcpartpicker.com/product/JmfnTW/thermalright-tl-c12c-x3-6617-cfm-120-mm-fans-3-pack-tl-c12c-x3-d6,120,Black,1550,66.17,25.6,true
Lian Li UNI FAN SL-INF Reverse Blade,29.4,https://pcpartpicker.com/product/YTzXsY/lian-li-uni-fan-sl-inf-reverse-blade-636-cfm-120-mm-fan-rslin120-1w,120,White,"200,2100",63.6,32,true
Lian Li Uni Fan SL-Infinity,27.9,https://pcpartpicker.com/product/2hzhP6/lian-li-uni-fan-sl-infinity-613-cfm-120-mm-fan-uf-slin120-1b,120,Black,,"0,61.3","0,29",true
Corsair iCUE LINK QX120 RGB Starter Kit 3-Pack,134.99,https://pcpartpicker.com/product/4VBzK8/corsair-icue-link-qx120-rgb-starter-kit-631-cfm-120-mm-fans-3-pack-co-9051002-ww,120,Black,"480,2400","16.44,63.1",,true
ARCTIC P12 PST 5-Pack,,https://pcpartpicker.com/product/LmCFf7/arctic-p12-pst-563-cfm-120-mm-fans-5-pack-acfan00137a,120,Black,"200,1800",56.3,22.5,true
Thermalright TL-C12CW-S X3 3-Pack,13.19,https://pcpartpicker.com/product/XYPQzy/thermalright-tl-c12cw-s-x3-6617-cfm-120-mm-fans-3-pack-tl-c12cw-s-x3-d6,120,White,1550,66.17,25.6,true
Lian Li Uni Fan SL-Infinity,26.99,https://pcpartpicker.com/product/bBBG3C/lian-li-uni-fan-sl-infinity-613-cfm-120-mm-fan-uf-slin120-1w,120,White,,"0,61.3","0,29",true
Noctua A12x25 PWM,32.95,https://pcpartpicker.com/product/zxx2FT/noctua-nf-a12x25-pwm-601-cfm-120mm-fan-nf-a12x25-pwm,120,Brown,"450,2000","49.73,60.1","18.8,22.6",true
Lian Li UNI FAN SL V2 3-Pack,70,https://pcpartpicker.com/product/K3KKHx/lian-li-uni-fan-sl-v2-645-cfm-120-mm-fans-3-pack-sl120v2-3w,120,White / Silver,"250,2000",64.5,29.2,true
NZXT F120 RGB Core,25.3,https://pcpartpicker.com/product/Rz6NnQ/nzxt-f120-rgb-core-7886-cfm-120-mm-fan-rf-c12sf-w1,120,White,"500,1800",78.86,33.88,true
Noctua A14 PWM chromax.black.swap,26.95,https://pcpartpicker.com/product/sWM323/noctua-nf-a14-pwm-chromaxblackswap-825-cfm-140mm-fan-nf-a14-pwm-chromaxblackswap,140,Multicolor,"300,1500",82.52,24.6,true
Corsair iCUE LINK QX120 RGB Starter Kit 3-Pack,139.99,https://pcpartpicker.com/product/LgP8TW/corsair-icue-link-qx120-rgb-starter-kit-631-cfm-120-mm-fans-3-pack-co-9051006-ww,120,White,"480,2400","16.44,63.1",,true
Lian Li UNI FAN SL V2 3-Pack,74,https://pcpartpicker.com/product/gtcG3C/lian-li-uni-fan-sl-v2-645-cfm-120-mm-fans-3-pack-sl120v2-3b,120,Black / Silver,"250,2000",64.5,29.2,true
ARCTIC P12 PWM PST,9.99,https://pcpartpicker.com/product/68WfrH/arctic-p12-pwm-pst-563-cfm-120-mm-fan-acfan00120a,120,Black,"200,1800",56.3,,true
ARCTIC P12 Max,9.99,https://pcpartpicker.com/product/9r6NnQ/arctic-p12-max-8104-cfm-120-mm-fan-acfan00280a,120,Black,"200,3300",81.04,,true
be quiet! Silent Wings Pro 4,27.9,https://pcpartpicker.com/product/N8NxFT/be-quiet-silent-wings-pro-4-839-cfm-120-mm-fan-bl098,120,Black,3000,83.9,36.9,true
NZXT F120 RGB Core,22.98,https://pcpartpicker.com/product/3HGhP6/nzxt-f120-rgb-core-7886-cfm-120-mm-fan-rf-c12sf-b1,120,Black,"500,1800",78.86,33.88,true
Noctua P12 redux-1700 PWM,21.82,https://pcpartpicker.com/product/VNBTwP/noctua-nf-p12-redux-1700-pwm-708-cfm-120mm-fan-nf-p12-redux-1700-pwm,120,Gray,"450,1700",70.75,25.1,true
NZXT F120 RGB 3-Pack,89.99,https://pcpartpicker.com/product/ptVmP6/nzxt-f120-rgb-5018-cfm-120-mm-fans-3-pack-rf-r12tf-b1,120,Black,"500,1800","13.94,50.18","17.2,27.5",true
Noctua A14 PWM,23.95,https://pcpartpicker.com/product/dwR48d/noctua-case-fan-nfa14pwm,140,Brown,"300,1500","68,82.5","19.2,24.6",true
Corsair iCUE AR120 Digital RGB 3-Pack,39.99,https://pcpartpicker.com/product/wcRwrH/corsair-icue-ar120-digital-rgb-59-cfm-120-mm-fans-3-pack-co-9050167-ww,120,Black,"400,1850","10.7,59","10,27.3",true
ARCTIC P12 Max 5-Pack,,https://pcpartpicker.com/product/GCV2FT/arctic-p12-max-8104-cfm-120-mm-fans-5-pack-acfan00289a,120,Black,"200,3300",81.04,,true
Thermalright TL-C12C-S,6.59,https://pcpartpicker.com/product/BM7scf/thermalright-tl-c12c-s-6617-cfm-120-mm-fan-tl-c12c-s,120,Black,1550,66.17,25.6,true
be quiet! Pure Wings 2,9.9,https://pcpartpicker.com/product/M6vZxr/be-quiet-pure-wings-2-120-870-cfm-120mm-fan-bl039,120,Black,"500,1500","51.4,87",20.2,true
Lian Li Uni Fan SL-Infinity,29.32,https://pcpartpicker.com/product/vDC48d/lian-li-uni-fan-sl-infinity-727-cfm-140-mm-fan-uf-slin140-1w,140,White,"200,1600",72.7,28,true
NZXT F120 RGB 3-Pack,77.33,https://pcpartpicker.com/product/HwGbt6/nzxt-f120-rgb-5018-cfm-120-mm-fans-3-pack-rf-r12tf-w1,120,White,"500,1800","13.94,50.18","17.2,27.5",true
Lian Li Uni Fan SL-Infinity,27.99,https://pcpartpicker.com/product/JpjBD3/lian-li-uni-fan-sl-infinity-727-cfm-140-mm-fan-uf-slin140-1b,140,Black,"200,1600",72.7,28,true
ARCTIC P14 PST,12.99,https://pcpartpicker.com/product/Wm66Mp/arctic-p14-pst-728-cfm-140-mm-fan-acfan00125a,140,Black,"200,1700",72.8,22.5,true
ARCTIC P12 PST A-RGB 0dB 3-Pack,42.97,https://pcpartpicker.com/product/FQ6p99/arctic-p12-pst-a-rgb-0db-488-cfm-120-mm-fans-3-pack-acfan00232a,120,Black,,48.8,,true
Lian Li UNI FAN SL-INF Reverse Blade,29.6,https://pcpartpicker.com/product/CVQKHx/lian-li-uni-fan-sl-inf-reverse-blade-716-cfm-140-mm-fan-uf-rs-slin140-1b,140,Black / White,"200,1600",71.6,28.6,true
Lian Li UNI FAN TL LCD 120 Reverse Blade 3-Pack,134.78,https://pcpartpicker.com/product/G2n9TW/lian-li-uni-fan-tl-lcd-120-reverse-blade-834-cfm-120-mm-fans-3-pack-12rtllcd3b,120,Black,,83.4,34,true
Lian Li UNI FAN TL LCD 120 Reverse Blade 3-Pack,137.99,https://pcpartpicker.com/product/MXNYcf/lian-li-uni-fan-tl-lcd-120-reverse-blade-834-cfm-120-mm-fans-3-pack-12rtllcd3w,120,White,,83.4,34,true
SeaSonic MAGFLOW 3-Pack,127.19,https://pcpartpicker.com/product/Df9wrH/seasonic-magflow-6333-cfm-120-mm-fans-3-pack-magflow-3,120,Black,"600,2000",63.33,"9.9,33.78",true
Montech AX120,9.9,https://pcpartpicker.com/product/bfCZxr/montech-ax120-59-cfm-120-mm-fan-ax120-pwm-black,120,Black,"800,1600",59,27,true
Corsair iCUE SP120 RGB ELITE,19.98,https://pcpartpicker.com/product/M9Gbt6/corsair-icue-sp120-rgb-elite-477-cfm-120-mm-fan-co-9050108-ww,120,Black / White,"400,1500",,,true
Lian Li UNI FAN SL-INF Reverse Blade,26.99,https://pcpartpicker.com/product/cv7scf/lian-li-uni-fan-sl-inf-reverse-blade-716-cfm-140-mm-fan-uf-rs-slin140-1w,140,White,"200,1600",71.6,28.6,true
Lian Li UNI FAN SL V2,26.99,https://pcpartpicker.com/product/t87G3C/lian-li-uni-fan-sl-v2-645-cfm-120-mm-fan-sl120v2-1b,120,Black / Silver,"250,2000",64.5,29.2,true
Corsair iCUE AF120 RGB ELITE 3-Pack,89.99,https://pcpartpicker.com/product/PkvdnQ/corsair-icue-af120-rgb-elite-6557-cfm-120-mm-fans-3-pack-co-9050154-ww,120,Black,"550,2100","13.8,65.57","5,34.1",true
Noctua F12 industrialPPC-3000 PWM,27.95,https://pcpartpicker.com/product/Mb4gXL/noctua-case-fan-nff12industrialppc3000pwm,120,Brown / Black,"750,3000",109.89,43.5,true
be quiet! Silent Wings Pro 4,27.9,https://pcpartpicker.com/product/L8NxFT/be-quiet-silent-wings-pro-4-9741-cfm-140-mm-fan-bl099,140,Black,2400,97.41,36.8,true
ARCTIC P12 Slim PWM PST 3-Pack,31.34,https://pcpartpicker.com/product/xBhv6h/arctic-p12-slim-pwm-pst-421-cfm-120-mm-fans-3-pack-acfan00275a,120,Black,"300,2100",42.1,22.5,true
Lian Li UNI FAN SL V2 120 Reverse,26.9,https://pcpartpicker.com/product/CvvD4D/lian-li-uni-fan-sl-v2-120-reverse-654-cfm-120-mm-fan-rsl120v2-1b,120,Black,"250,2000",65.4,32,true
NZXT F RGB Core 2-Pack,59.99,https://pcpartpicker.com/product/2288TW/nzxt-f-rgb-core-8948-cfm-140-mm-fans-2-pack-rf-c14hf-b1,140,Black,"500,1800","24.85,89.48","20,32.5",true
Noctua A14 industrialPPC-3000 PWM,35.95,https://pcpartpicker.com/product/ntXfrH/noctua-case-fan-nfa14industrialppc3000pwm,140,Brown / Black,"800,3000",158.5,41.3,true
Corsair LL120 3-Pack,69.99,https://pcpartpicker.com/product/8KFXsY/corsair-ll120rgb-led-4325-cfm-120-mm-fans-3-pack-co-9050072-ww,120,Black,"600,1500",43.25,24.8,true
Corsair AF140 Quiet,,https://pcpartpicker.com/product/yYkD4D/corsair-air-series-af140-quiet-edition-678-cfm-140-mm-fan-co-9050009-ww,140,Black,1150,67.8,24,false
Thermalright TL-S12 X3 3-Pack,,https://pcpartpicker.com/product/4zkH99/thermalright-tl-s12-x3-476-cfm-120-mm-fans-3-pack-tl-s12-x3,120,Black,1500,47.6,23.2,true
Lian Li UNI FAN SL V2,26.99,https://pcpartpicker.com/product/qpqPxr/lian-li-uni-fan-sl-v2-645-cfm-120-mm-fan-sl120v2-1w,120,White / Silver,"250,2000",64.5,29.2,true
Noctua A12x15 PWM chromax.black.swap,26.95,https://pcpartpicker.com/product/FM3mP6/noctua-nf-a12x15-pwm-chromaxblackswap-5544-cfm-120-mm-fan-nf-a12x15-pwm-chromaxblackswap,120,Black / Multicolor,"450,1850",55.44,23.9,true
NZXT F120Q (2024),21.98,https://pcpartpicker.com/product/DbJp99/nzxt-f120q-2024-7426-cfm-120-mm-fan-rf-q12sf-b2,120,Black,"500,1700",74.26,25.1,true
