name,price,href,type,color,psu,side_panel,external_volume,internal_35_bays
Corsair 4000D Airflow,89.97,https://pcpartpicker.com/product/bCYQzy/corsair-4000d-airflow-atx-mid-tower-case-cc-9011200-ww,ATX Mid Tower,Black,,Tinted Tempered Glass,48.6,2
NZXT H5 Flow (2022),79.98,https://pcpartpicker.com/product/RY4Ycf/nzxt-h5-flow-atx-mid-tower-case-cc-h51fb-01,ATX Mid Tower,Black,,Tempered Glass,47,1
Montech AIR 903 MAX,74.98,https://pcpartpicker.com/product/2MwmP6/montech-air-903-max-atx-mid-tower-case-air-903-max-b,ATX Mid Tower,Black,,Tempered Glass,54.2,2
NZXT H9 Flow,159.99,https://pcpartpicker.com/product/7ZBG3C/nzxt-h9-flow-atx-mid-tower-case-cm-h91fw-01,ATX Mid Tower,White,,Tempered Glass,66.9,2
Fractal Design Pop Air,49.99,https://pcpartpicker.com/product/QnD7YJ/fractal-design-pop-air-atx-mid-tower-case-fd-c-poa1a-02,ATX Mid Tower,Black,,Tempered Glass,46.2,2
Cooler Master MasterBox Q300L,46.98,https://pcpartpicker.com/product/rnGxFT/cooler-master-masterbox-q300l-microatx-mini-tower-case-mcb-q300l-kann-s00,MicroATX Mini Tower,Black,,Acrylic,33.6,1
Phanteks XT PRO ULTRA,75.98,https://pcpartpicker.com/product/BXtLrH/phanteks-xt-pro-ultra-atx-mid-tower-case-ph-xt523p1-dbk01,ATX Mid Tower,Black,,Tempered Glass,51.8,2
NZXT H9 Flow,159.99,https://pcpartpicker.com/product/VCpzK8/nzxt-h9-flow-atx-mid-tower-case-cm-h91fb-01,ATX Mid Tower,Black,,Tempered Glass,66.9,2
Montech XR,63.9,https://pcpartpicker.com/product/fc88TW/montech-xr-atx-mid-tower-case-xr-b,ATX Mid Tower,Black,,Tempered Glass,45,2
Lian Li O11 Vision,123.94,https://pcpartpicker.com/product/vZHqqs/lian-li-o11-vision-atx-mid-tower-case-pc-o11vw,ATX Mid Tower,White,,Tempered Glass,67.8,2
NZXT H6 Flow,109.99,https://pcpartpicker.com/product/8QMMnQ/nzxt-h6-flow-atx-mid-tower-case-cc-h61fw-01,ATX Mid Tower,White,,Tempered Glass,51.8,1
NZXT H6 Flow,109.98,https://pcpartpicker.com/product/xgKscf/nzxt-h6-flow-atx-mid-tower-case-cc-h61fb-01,ATX Mid Tower,Black,,Tempered Glass,51.8,1
Fractal Design North,109.99,https://pcpartpicker.com/product/ybNxFT/fractal-design-north-atx-mid-tower-case-fd-c-nor1c-02,ATX Mid Tower,Black,,Tempered Glass,45.1,2
Lian Li A3-mATX,69.98,https://pcpartpicker.com/product/CjFmP6/lian-li-a3-matx-microatx-mini-tower-case-a3-matx-x,MicroATX Mini Tower,Black,,Mesh,26.3,1
Lian Li O11 Vision,119.94,https://pcpartpicker.com/product/Jk7scf/lian-li-o11-vision-atx-mid-tower-case-pc-o11vx,ATX Mid Tower,Black,,Tempered Glass,67.8,2
Montech AIR 100 ARGB,69.99,https://pcpartpicker.com/product/M7Z9TW/montech-air-100-argb-microatx-mid-tower-case-air-100-argb-black,MicroATX Mid Tower,Black,,Tempered Glass,36.1,2
Fractal Design Pop XL Air,116.28,https://pcpartpicker.com/product/8qFbt6/fractal-design-pop-xl-air-atx-full-tower-case-fd-c-por1x-06,ATX Full Tower,Black,,Tempered Glass,62.4,3
NZXT H5 Flow (2022),69.98,https://pcpartpicker.com/product/92pzK8/nzxt-h5-flow-atx-mid-tower-case-cc-h51fw-01,ATX Mid Tower,White,,Tempered Glass,47,1
Phanteks XT PRO,65.98,https://pcpartpicker.com/product/zJWJ7P/phanteks-xt-pro-atx-mid-tower-case-ph-xt523p1-bk01,ATX Mid Tower,Black,,Tempered Glass,51.8,2
Fractal Design Pop Mini Air,89.97,https://pcpartpicker.com/product/gx3gXL/fractal-design-pop-mini-air-microatx-mid-tower-case-fd-c-por1m-06,MicroATX Mid Tower,Black,,Tempered Glass,36.5,2
NZXT H5 Flow RGB (2023),89.99,https://pcpartpicker.com/product/43tLrH/nzxt-h5-flow-rgb-atx-mid-tower-case-cc-h51fb-r1,ATX Mid Tower,Black,,Tempered Glass,47,1
Fractal Design Terra,179.99,https://pcpartpicker.com/product/GrMMnQ/fractal-design-terra-mini-itx-desktop-case-fd-c-ter1n-01,Mini ITX Desktop,Black / Brown,,Mesh,11.4,0
Fractal Design North XL,151.96,https://pcpartpicker.com/product/Gd26Mp/fractal-design-north-xl-atx-full-tower-case-fd-c-nor1x-02,ATX Full Tower,Black,,Tinted Tempered Glass,61.4,2
HYTE Y70 Touch Infinite,379.99,https://pcpartpicker.com/product/Tvrqqs/hyte-y70-touch-infinite-atx-mid-tower-case-cs-hyte-y70ti-ww,ATX Mid Tower,White,,Tempered Glass,70.7,2
NZXT H6 Flow RGB,134.99,https://pcpartpicker.com/product/kfRwrH/nzxt-h6-flow-rgb-atx-mid-tower-case-cc-h61fw-r1,ATX Mid Tower,White,,Tempered Glass,51.8,1
Montech AIR 903 BASE,65,https://pcpartpicker.com/product/kKcgXL/montech-air-903-base-atx-mid-tower-case-air-903-base-b,ATX Mid Tower,Black,,Tempered Glass,54.2,2
Lian Li O11D EVO RGB,159.96,https://pcpartpicker.com/product/qrXV3C/lian-li-o11d-evo-rgb-atx-mid-tower-case-o11dergbx,ATX Mid Tower,Black,,Tempered Glass,65.3,4
HYTE Y70,219,https://pcpartpicker.com/product/RgjRsY/hyte-y70-atx-mid-tower-case-cs-hyte-y70-ww,ATX Mid Tower,White,,Tempered Glass,70.7,2
Montech KING 95 PRO,148.99,https://pcpartpicker.com/product/7qQKHx/montech-king-95-pro-atx-mid-tower-case-king-95-pro-black,ATX Mid Tower,Black,,Tempered Glass,63,5
Thermaltake Level 20,999.99,https://pcpartpicker.com/product/BkyV3C/thermaltake-level-20-atx-full-tower-case-ca-1j9-00f9wn-00,ATX Full Tower,Black / Silver,,Tempered Glass,141,8
Fractal Design Pop Air RGB,89.99,https://pcpartpicker.com/product/mpcG3C/fractal-design-pop-air-rgb-atx-mid-tower-case-fd-c-por1a-06,ATX Mid Tower,Black,,Tempered Glass,46.2,2
Corsair 3000D AIRFLOW,74.98,https://pcpartpicker.com/product/NcRwrH/corsair-3000d-airflow-atx-mid-tower-case-cc-9011251-ww,ATX Mid Tower,Black,,Tempered Glass,49.5,2
Lian Li LANCOOL 216 RGB,94.99,https://pcpartpicker.com/product/KKytt6/lian-li-lancool-216-rgb-atx-mid-tower-case-lancool-216rx,ATX Mid Tower,Black,,Tempered Glass,55.6,2
Lian Li O11 Dynamic EVO XL,229.99,https://pcpartpicker.com/product/jwDQzy/lian-li-o11-dynamic-evo-xl-atx-full-tower-case-o11dexl-x,ATX Full Tower,Black,,Tempered Glass,84.4,4
NZXT H5 Flow RGB (2023),79.98,https://pcpartpicker.com/product/fcqrxr/nzxt-h5-flow-rgb-atx-mid-tower-case-cc-h51fw-r1,ATX Mid Tower,White,,Tempered Glass,47,1
Corsair 4000D Airflow,89.99,https://pcpartpicker.com/product/WBVG3C/corsair-4000d-airflow-atx-mid-tower-case-cc-9011201-ww,ATX Mid Tower,White,,Tinted Tempered Glass,48.6,2
