name,price,href,rpm,noise_level,color,size
Thermalright Peerless Assassin 120 SE,34.9,https://pcpartpicker.com/product/hYxRsY/thermalright-peerless-assassin-120-se-6617-cfm-cpu-cooler-pa120-se-d3,1550,25.6,Black / Silver,
Cooler Master Hyper 212 Black Edition,29.99,https://pcpartpicker.com/product/HyTPxr/cooler-master-hyper-212-black-edition-42-cfm-cpu-cooler-rr-212s-20pk-r1,"650,2000","6.5,26",Black,
NZXT Kraken Elite 360 RGB,299.99,https://pcpartpicker.com/product/pbKscf/nzxt-kraken-elite-360-rgb-7802-cfm-liquid-cpu-cooler-rl-kr36e-w1,"500,1800","17.9,30.6",White,360
Corsair iCUE H150i ELITE CAPELLIX XT,189.99,https://pcpartpicker.com/product/hxrqqs/corsair-icue-h150i-elite-capellix-xt-6557-cfm-liquid-cpu-cooler-cw-9060070-ww,"550,2100","5,34.1",Black,360
Thermalright Phantom Spirit 120 SE,38.9,https://pcpartpicker.com/product/GpbRsY/thermalright-phantom-spirit-120-se-6617-cfm-cpu-cooler-ps120se,1500,25.6,Black / Silver,
Cooler Master MASTERLIQUID ML240L RGB V2,96.51,https://pcpartpicker.com/product/fLFKHx/cooler-master-masterliquid-ml240l-rgb-v2-6559-cfm-liquid-cpu-cooler-mlw-d24m-a18pc-r2,"650,1800","6,27",Black,240
Noctua NH-D15 chromax.black,119.95,https://pcpartpicker.com/product/84MTwP/noctua-nh-d15-chromaxblack-8252-cfm-cpu-cooler-nh-d15-chromaxblack,"300,1500","19.2,24.6",Black,
Corsair iCUE H100x RGB ELITE,99,https://pcpartpicker.com/product/2RBzK8/corsair-icue-h100x-rgb-elite-4773-cfm-liquid-cpu-cooler-cw-9060065-ww,1500,"7,28",Black,240
ARCTIC Liquid Freezer III 360,90.08,https://pcpartpicker.com/product/XgyH99/arctic-liquid-freezer-iii-360-563-cfm-liquid-cpu-cooler-acfre00136a,"200,1800",,Black,360
Thermalright Phantom Spirit 120 SE ARGB,35.9,https://pcpartpicker.com/product/MzMMnQ/thermalright-phantom-spirit-120-se-argb-6617-cfm-cpu-cooler-ps120se-argb,1500,25.6,Black / Silver,
NZXT Kraken Elite 360 RGB,299,https://pcpartpicker.com/product/3bKscf/nzxt-kraken-elite-360-rgb-7802-cfm-liquid-cpu-cooler-rl-kr36e-b1,"500,1800","17.9,30.6",Black,360
NZXT Kraken 240,139.99,https://pcpartpicker.com/product/LDqrxr/nzxt-kraken-240-7802-cfm-liquid-cpu-cooler-rl-kn240-b1,"500,1800","17.9,30.6",Black,240
be quiet! Dark Rock Pro 5,87.83,https://pcpartpicker.com/product/LyyH99/be-quiet-dark-rock-pro-5-cpu-cooler-bk036,"1300,2000","8.9,23.3",Black,
Thermalright Assassin X 120 Refined SE,17.89,https://pcpartpicker.com/product/q6H7YJ/thermalright-assassin-x-120-refined-se-6617-cfm-cpu-cooler-ax120-se-d3,1550,25.6,Black / Silver,
Cooler Master MasterLiquid 360L Core ARGB,91.85,https://pcpartpicker.com/product/jBrqqs/cooler-master-masterliquid-360l-core-argb-liquid-cpu-cooler-mlw-d36m-a18pz-r1,"350,1750",27.2,Black,360
ARCTIC Liquid Freezer III 240,76.98,https://pcpartpicker.com/product/vHZXsY/arctic-liquid-freezer-iii-240-563-cfm-liquid-cpu-cooler-acfre00134a,"200,1800",,Black,240
ARCTIC Liquid Freezer III 360 A-RGB,,https://pcpartpicker.com/product/CfcgXL/arctic-liquid-freezer-iii-360-a-rgb-4882-cfm-liquid-cpu-cooler-acfre00144a,"200,2000",,Black,360
