name,price,href,core_count,core_clock,boost_clock,micro_architecture,tdp,graphics,socket
AMD Ryzen 7 7800X3D,511.1,https://pcpartpicker.com/product/3hyH99/amd-ryzen-7-7800x3d-42-ghz-8-core-processor-100-100000910wof,8,4.2,5,Zen 4,120,Radeon,AM5
AMD Ryzen 5 7600X,205.64,https://pcpartpicker.com/product/66C48d/amd-ryzen-5-7600x-47-ghz-6-core-processor-100-100000593wof,6,4.7,5.3,Zen 4,105,Radeon,AM4
AMD Ryzen 5 5600X,124,https://pcpartpicker.com/product/g94BD3/amd-ryzen-5-5600x-37-ghz-6-core-processor-100-100000065box,6,3.7,4.6,Zen 3,65,,AM5
AMD Ryzen 7 7700X,249,https://pcpartpicker.com/product/WfqPxr/amd-ryzen-7-7700x-45-ghz-8-core-processor-100-100000591wof,8,4.5,5.4,Zen 4,105,Radeon,AM5
AMD Ryzen 5 7600,182.14,https://pcpartpicker.com/product/yXmmP6/amd-ryzen-5-7600-38-ghz-6-core-processor-100-100001015box,6,3.8,5.1,Zen 4,65,Radeon,AM5
AMD Ryzen 9 7950X3D,574.99,https://pcpartpicker.com/product/X6XV3C/amd-ryzen-9-7950x3d-42-ghz-16-core-processor-100-100000908wof,16,4.2,5.7,Zen 4,120,Radeon,AM4
AMD Ryzen 5 5600,113,https://pcpartpicker.com/product/PgcG3C/amd-ryzen-5-5600-36-ghz-6-core-processor-100-100000927box,6,3.5,4.4,Zen 3,65,,LGA1700
Intel Core i5-12400F,111.99,https://pcpartpicker.com/product/pQNxFT/intel-core-i5-12400f-25-ghz-6-core-processor-bx8071512400f,6,2.5,4.4,Alder Lake,65,,AM4
AMD Ryzen 7 5800X,166,https://pcpartpicker.com/product/qtvqqs/amd-ryzen-7-5800x-38-ghz-8-core-processor-100-100000063wof,8,3.8,4.7,Zen 3,105,,AM4
AMD Ryzen 5 5500,76.73,https://pcpartpicker.com/product/yq2WGX/amd-ryzen-5-5500-36-ghz-6-core-processor-100-100000457box,6,3.6,4.2,Zen 3,65,,LGA1700
Intel Core i7-14700K,397.45,https://pcpartpicker.com/product/BmWJ7P/intel-core-i7-14700k-34-ghz-20-core-processor-bx8071514700k,20,3.4,5.6,Raptor Lake Refresh,125,Intel UHD Graphics 770,AM4
AMD Ryzen 5 3600,89.99,https://pcpartpicker.com/product/9nm323/amd-ryzen-5-3600-36-thz-6-core-processor-100-100000031box,6,3.6,4.2,Zen 2,65,,LGA1700
Intel Core i9-14900K,577,https://pcpartpicker.com/product/ZLjRsY/intel-core-i9-14900k-32-ghz-24-core-processor-bx8071514900k,24,3.2,6,Raptor Lake Refresh,125,Intel UHD Graphics 770,LGA1700
Intel Core i7-12700K,225.99,https://pcpartpicker.com/product/ZbddnQ/intel-core-i7-12700k-36-ghz-8-core-processor-bx8071512700k,12,3.6,5,Alder Lake,125,Intel UHD Graphics 770,AM4
AMD Ryzen 7 5700X3D,192.22,https://pcpartpicker.com/product/3ZKscf/amd-ryzen-7-5700x3d-3-ghz-8-core-processor-100-100001503wof,8,3,4.1,Zen 3,105,,AM5
AMD Ryzen 9 7900X,321.14,https://pcpartpicker.com/product/bwxRsY/amd-ryzen-9-7900x-47-ghz-12-core-processor-100-100000589wof,12,4.7,5.6,Zen 4,170,Radeon,LGA1700
Intel Core i5-12600KF,129.99,https://pcpartpicker.com/product/Tk8bt6/intel-core-i5-12600kf-37-ghz-6-core-processor-bx8071512600kf,10,3.7,4.9,Alder Lake,125,,AM4
AMD Ryzen 7 5700X,158,https://pcpartpicker.com/product/JmhFf7/amd-ryzen-7-5700x-34-ghz-8-core-processor-100-100000926wof,8,3.4,4.6,Zen 3,65,,AM5
AMD Ryzen 9 9950X,611.34,https://pcpartpicker.com/product/T6GhP6/amd-ryzen-9-9950x-43-ghz-16-core-processor-100-100001277wof,16,4.3,5.7,Zen 5,170,Radeon,AM4
AMD Ryzen 9 5900X,233.46,https://pcpartpicker.com/product/KwLwrH/amd-ryzen-9-5900x-37-ghz-12-core-processor-100-100000061wof,12,3.7,4.8,Zen 3,105,,AM5
AMD Ryzen 9 7900X3D,485.66,https://pcpartpicker.com/product/XccgXL/amd-ryzen-9-7900x3d-44-ghz-12-core-processor-100-100000909wof,12,4.4,5.6,Zen 4,120,Radeon,LGA1700
Intel Core i7-12700KF,258,https://pcpartpicker.com/product/YDM48d/intel-core-i7-12700kf-36-ghz-8-core-processor-bx8071512700kf,12,3.6,5,Alder Lake,125,,AM4
AMD Ryzen 7 5800X3D,,https://pcpartpicker.com/product/CZ3gXL/amd-ryzen-7-5800x3d-34-ghz-8-core-processor-100-100000651wof,8,3.4,4.5,Zen 3,105,,LGA1700
Intel Core i9-14900KS,614.99,https://pcpartpicker.com/product/3ZmNnQ/intel-core-i9-14900ks-32-ghz-24-core-processor-bx8071514900ks,24,3.2,6.2,Raptor Lake Refresh,150,Intel UHD Graphics 770,LGA1700
Intel Core i7-13700K,319.99,https://pcpartpicker.com/product/Mm6p99/intel-core-i7-13700k-34-ghz-16-core-processor-bx8071513700k,16,3.4,5.4,Raptor Lake,125,Intel UHD Graphics 770,LGA1700
Intel Core i5-12600K,179.99,https://pcpartpicker.com/product/BB4Ycf/intel-core-i5-12600k-37-ghz-6-core-processor-bx8071512600k,10,3.7,4.9,Alder Lake,125,Intel UHD Graphics 770,AM5
AMD Ryzen 5 7500F,,https://pcpartpicker.com/product/zGn9TW/amd-ryzen-5-7500f-37-ghz-6-core-processor-100-100000597box,6,3.7,5,Zen 4,65,,AM4
AMD Ryzen 7 3700X,150.11,https://pcpartpicker.com/product/QKJtt6/amd-ryzen-7-3700x-36-ghz-8-core-processor-100-100000071box,8,3.6,4.4,Zen 2,65,,LGA1700
Intel Core i9-12900K,288,https://pcpartpicker.com/product/gGH7YJ/intel-core-i9-12900k-32-ghz-8-core-processor-bx8071512900k,16,3.2,5.2,Alder Lake,125,Intel UHD Graphics 770,sTRX4
AMD Threadripper 3990X,3249.95,https://pcpartpicker.com/product/KWmFf7/amd-threadripper-3990x-29-ghz-64-core-processor-100-100000163wof,64,2.9,4.3,Zen 2,280,,LGA1700
Intel Core i3-12100F,83.62,https://pcpartpicker.com/product/grhFf7/intel-core-i3-12100f-33-ghz-quad-core-processor-bx8071512100f,4,3.3,4.3,Alder Lake,58,,LGA1700
Intel Core i5-13600K,249.99,https://pcpartpicker.com/product/LfNxFT/intel-core-i5-13600k-35-ghz-14-core-processor-bx8071513600k,14,3.5,5.1,Raptor Lake,125,Intel UHD Graphics 770,AM4
AMD Ryzen 5 5600G,139.99,https://pcpartpicker.com/product/sYmmP6/amd-ryzen-5-5600g-39-ghz-6-core-processor-100-100000252box,6,3.9,4.4,Zen 3,65,Radeon Vega 7,AM5
AMD Ryzen 7 9700X,331.48,https://pcpartpicker.com/product/YMzXsY/amd-ryzen-7-9700x-38-ghz-8-core-processor-100-100001404wof,8,3.8,5.5,Zen 5,65,Radeon,AM4
AMD Ryzen 5 4500,63.38,https://pcpartpicker.com/product/m8BG3C/amd-ryzen-5-4500-36-ghz-6-core-processor-100-100000644box,6,3.6,4.1,Zen 2,65,,AM5
AMD Ryzen 9 7950X,492.48,https://pcpartpicker.com/product/22XJ7P/amd-ryzen-9-7950x-45-ghz-16-core-processor-100-100000514wof,16,4.5,5.7,Zen 4,170,Radeon,AM5
AMD Ryzen 7 7700,280,https://pcpartpicker.com/product/dXmmP6/amd-ryzen-7-7700-36-ghz-8-core-processor-100-100000592box,8,3.6,5.3,Zen 4,65,Radeon,LGA1700
Intel Core i9-13900K,469.99,https://pcpartpicker.com/product/DhVmP6/intel-core-i9-13900k-3-ghz-24-core-processor-bx8071513900k,24,3,5.8,Raptor Lake,125,Intel UHD Graphics 770,LGA1700
Intel Core i7-14700KF,379.99,https://pcpartpicker.com/product/TWP8TW/intel-core-i7-14700kf-34-ghz-20-core-processor-bx8071514700kf,20,3.4,5.6,Raptor Lake Refresh,125,,LGA1700
Intel Core i5-13400F,159.56,https://pcpartpicker.com/product/VNkWGX/intel-core-i5-13400f-25-ghz-10-core-processor-bx8071513400f,10,2.5,4.6,Raptor Lake,65,,AM5
AMD Ryzen 5 8500G,149,https://pcpartpicker.com/product/y3XV3C/amd-ryzen-5-8500g-41-ghz-6-core-processor-100-100000931box,6,4.1,5,Zen 4,65,Radeon 740M,AM4
AMD Ryzen 9 5950X,315.99,https://pcpartpicker.com/product/Qk2bt6/amd-ryzen-9-5950x-34-ghz-16-core-processor-100-100000059wof,16,3.4,4.9,Zen 3,105,,AM5
AMD Ryzen 5 8600G,167.99,https://pcpartpicker.com/product/QqyH99/amd-ryzen-5-8600g-43-ghz-6-core-processor-100-100001237box,6,4.3,5,Zen 4,65,Radeon 760M,LGA1700
Intel Core i7-13700KF,330,https://pcpartpicker.com/product/w86p99/intel-core-i7-13700kf-34-ghz-16-core-processor-bx8071513700kf,16,3.4,5.4,Raptor Lake,125,,AM4
AMD Ryzen 7 5700G,167.83,https://pcpartpicker.com/product/ycGbt6/amd-ryzen-7-5700g-38-ghz-8-core-processor-100-100000263box,8,3.8,4.6,Zen 3,65,Radeon Vega 8,LGA1700
Intel Core i5-13600KF,249.99,https://pcpartpicker.com/product/GVM48d/intel-core-i5-13600kf-35-ghz-14-core-processor-bx8071513600kf,14,3.5,5.1,Raptor Lake,125,,AM5
