name,price,href,capacity,price_per_gb,type,cache,form_factor,interface
Kingston NV2,56.59,https://pcpartpicker.com/product/FnYmP6/kingston-nv2-1-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-snv2s1000g,1000,0.057,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Samsung 980 Pro,219.99,https://pcpartpicker.com/product/f3cRsY/samsung-980-pro-2-tb-m2-2280-nvme-solid-state-drive-mz-v8p2t0bam,2000,0.11,SSD,2048,M.2-2280,M.2 PCIe 4.0 X4
Samsung 990 Pro,318.99,https://pcpartpicker.com/product/RKYmP6/samsung-990-pro-4-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-mz-v9p4t0bw,4000,0.08,SSD,4096,M.2-2280,M.2 PCIe 4.0 X4
Crucial P3 Plus,117.99,https://pcpartpicker.com/product/yGZ9TW/crucial-p3-plus-2-tb-m2-2280-nvme-solid-state-drive-ct2000p3pssd8,2000,0.059,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Samsung 990 Pro,164.99,https://pcpartpicker.com/product/34ytt6/samsung-990-pro-2-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-mz-v9p2t0bw,2000,0.082,SSD,2048,M.2-2280,M.2 PCIe 4.0 X4
Samsung 970 Evo Plus,97.4,https://pcpartpicker.com/product/Zxw7YJ/samsung-970-evo-plus-1-tb-m2-2280-nvme-solid-state-drive-mz-v7s1t0bam,1000,0.097,SSD,1024,M.2-2280,M.2 PCIe 3.0 X4
Crucial P3 Plus,59.99,https://pcpartpicker.com/product/chzhP6/crucial-p3-plus-1-tb-m2-2280-nvme-solid-state-drive-ct1000p3pssd8,1000,0.06,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Western Digital WD_Black SN850X,144.44,https://pcpartpicker.com/product/crKKHx/western-digital-black-sn850x-2-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-wds200t2x0e,2000,0.072,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Samsung 980 Pro,89.99,https://pcpartpicker.com/product/DDWBD3/samsung-980-pro-1-tb-m2-2280-nvme-solid-state-drive-mz-v8p1t0bam,1000,0.09,SSD,1024,M.2-2280,M.2 PCIe 4.0 X4
Seagate Barracuda Compute,64.98,https://pcpartpicker.com/product/mwrYcf/seagate-barracuda-computer-2-tb-35-7200rpm-internal-hard-drive-st2000dm008,2000,0.032,7200,256,3.5,SATA 6.0 Gb/s
Western Digital Black SN770,119.99,https://pcpartpicker.com/product/4KRYcf/western-digital-2-tb-m2-2280-nvme-solid-state-drive-wds200t3x0e,2000,0.06,SSD,,M.2-2280,M.2 PCIe 4.0 X4
