name,price,href,speed,modules,price_per_gb,color,first_word_latency,cas_latency
Corsair Vengeance 32 GB,124.99,https://pcpartpicker.com/product/JkfxFT/corsair-vengeance-32-gb-2-x-16-gb-ddr5-6000-cl30-memory-cmk32gx5m2b6000c30,"5,6000","2,16",3.906,Black / Gray,10,30
Corsair Vengeance RGB 32 GB,107.99,https://pcpartpicker.com/product/kTJp99/corsair-vengeance-rgb-32-gb-2-x-16-gb-ddr5-6000-cl36-memory-cmh32gx5m2e6000c36,"5,6000","2,16",3.375,Black,12,36
Corsair Vengeance LPX 16 GB,41.99,https://pcpartpicker.com/product/p6RFf7/corsair-memory-cmk16gx4m2b3200c16,"4,3200","2,8",2.624,Black / Yellow,10,16
TEAMGROUP T-Force Delta RGB 32 GB,102.99,https://pcpartpicker.com/product/WFVmP6/teamgroup-t-force-delta-rgb-32-gb-2-x-16-gb-ddr5-6000-cl30-memory-ff4d532g6000hc30dc01,"5,6000","2,16",3.218,White,10,30
Corsair Vengeance RGB Pro 32 GB,89.99,https://pcpartpicker.com/product/khmFf7/corsair-vengeance-rgb-pro-32-gb-2-x-16-gb-ddr4-3600-memory-cmw32gx4m2z3600c18,"4,3600","2,16",2.812,Black,10,18
G.Skill Trident Z5 RGB 64 GB,204.99,https://pcpartpicker.com/product/636p99/gskill-trident-z5-rgb-64-gb-2-x-32-gb-ddr5-6400-cl32-memory-f5-6400j3239g32gx2-tz5rk,"5,6400","2,32",3.203,Black / Silver,10,32
G.Skill Flare X5 32 GB,99.99,https://pcpartpicker.com/product/LBstt6/gskill-flare-x5-32-gb-2-x-16-gb-ddr5-6000-cl30-memory-f5-6000j3038f16gx2-fx5,"5,6000","2,16",3.125,Black,10,30
TEAMGROUP T-Create Expert 32 GB,88.99,https://pcpartpicker.com/product/H9CZxr/teamgroup-t-create-expert-32-gb-2-x-16-gb-ddr5-6000-cl30-memory-ctced532g6000hc30dc01,"5,6000","2,16",2.781,Black,10,30
Corsair Vengeance LPX 32 GB,72.98,https://pcpartpicker.com/product/Yg3mP6/corsair-vengeance-lpx-32-gb-2-x-16-gb-ddr4-3600-memory-cmk32gx4m2d3600c18,"4,3600","2,16",2.281,Black / Yellow,10,18
G.Skill Ripjaws V 32 GB,51.99,https://pcpartpicker.com/product/kXbkcf/gskill-ripjaws-v-32-gb-2-x-16-gb-ddr4-3200-cl16-memory-f4-3200c16d-32gvk,"4,3200","2,16",1.625,Black,10,16
TEAMGROUP T-Force Delta RGB 32 GB,102.99,https://pcpartpicker.com/product/2JLFf7/teamgroup-t-force-delta-rgb-32-gb-2-x-16-gb-ddr5-6000-cl30-memory-ff3d532g6000hc30dc01,"5,6000","2,16",3.218,Black,10,30
Silicon Power GAMING 16 GB,28.97,https://pcpartpicker.com/product/P4FKHx/silicon-power-sp016gxlzu320bdaj5-16-gb-2-x-8-gb-ddr4-3200-cl16-memory-sp016gxlzu320bdaj5,"4,3200","2,8",1.811,Black / Gray,10,16
G.Skill Trident Z5 Neo RGB 32 GB,110.98,https://pcpartpicker.com/product/CXKKHx/gskill-trident-z5-neo-rgb-32-gb-2-x-16-gb-ddr5-6000-cl30-memory-f5-6000j3038f16gx2-tz5nr,"5,6000","2,16",3.468,Black,10,30
Corsair Vengeance RGB 32 GB,119.99,https://pcpartpicker.com/product/QTLFf7/corsair-vengeance-rgb-32-gb-2-x-16-gb-ddr5-6000-cl36-memory-cmh32gx5m2d6000c36w,"5,6000","2,16",3.75,White,12,36
Corsair Vengeance 64 GB,159.99,https://pcpartpicker.com/product/TJZ9TW/corsair-vengeance-64-gb-2-x-32-gb-ddr5-5200-cl40-memory-cmk64gx5m2b5200c40,"5,5200","2,32",2.5,Black,15.385,40
G.Skill Ripjaws V 16 GB,32.99,https://pcpartpicker.com/product/Cf98TW/gskill-ripjaws-v-series-16-gb-2-x-8-gb-ddr4-3200-cl16-memory-f4-3200c16d-16gvkb,"4,3200","2,8",2.062,Black,10,16
Corsair Vengeance 16 GB,66.98,https://pcpartpicker.com/product/H6rqqs/corsair-vengeance-16-gb-2-x-8-gb-ddr5-5200-cl40-memory-cmk16gx5m2b5200c40,"5,5200","2,8",4.186,Black,15.385,40
