name,price,href,type,efficiency,wattage,modular,color
Corsair RM750e (2023),99.99,https://pcpartpicker.com/product/YRJp99/corsair-rm750e-2023-750-w-80-gold-certified-fully-modular-atx-power-supply-cp-9020262-na,ATX,gold,750,Full,Black
Corsair RM850e (2023),118.99,https://pcpartpicker.com/product/4ZRwrH/corsair-rm850e-2023-850-w-80-gold-certified-fully-modular-atx-power-supply-cp-9020263-na,ATX,gold,850,Full,Black
Corsair RM1000e (2023),159.99,https://pcpartpicker.com/product/fxGhP6/corsair-rm1000e-2023-1000-w-80-gold-certified-fully-modular-atx-power-supply-cp-9020264-na,ATX,gold,1000,Full,Black
Corsair RM650 (2023),79.99,https://pcpartpicker.com/product/GdwmP6/corsair-rm650-2023-650-w-80-gold-certified-fully-modular-atx-power-supply-cp-9020280-na,ATX,gold,650,Full,Black
MSI MAG A650BN,67.98,https://pcpartpicker.com/product/8LNxFT/msi-mag-a-bn-650-w-80-bronze-certified-atx-power-supply-mag-a650bn,ATX,bronze,650,false,Black
Gigabyte UD750GM,79.99,https://pcpartpicker.com/product/W4Tp99/gigabyte-ud750gm-750-w-80-gold-certified-fully-modular-atx-power-supply-gp-ud750gm,ATX,gold,750,Full,Black
Corsair RM850x (2021),109.99,https://pcpartpicker.com/product/26rRsY/corsair-rm850x-2021-850-w-80-gold-certified-fully-modular-atx-power-supply-cp-9020200-na,ATX,gold,850,Full,Black
NZXT C750 (2022),79.99,https://pcpartpicker.com/product/ZCQcCJ/nzxt-c750-2022-750-w-80-gold-certified-fully-modular-atx-power-supply-pa-7g1bb-us,ATX,gold,750,Full,Black
MSI MAG A550BN,54.99,https://pcpartpicker.com/product/mnVmP6/msi-mag-a550bn-550-w-80-bronze-certified-atx-power-supply-mag-a550bn,ATX,bronze,550,false,Black
MSI MAG A750GL PCIE5,95.35,https://pcpartpicker.com/product/dbCZxr/msi-mag-a750gl-pcie5-750-w-80-gold-certified-fully-modular-atx-power-supply-mag-a750gl-pcie5,ATX,gold,750,Full,Black
MSI MAG A650GL,89.99,https://pcpartpicker.com/product/xfV2FT/msi-mag-a650gl-650-w-80-gold-certified-fully-modular-atx-power-supply-mag-a650gl,ATX,gold,650,Full,Black
MSI MAG A850GL PCIE5,100.99,https://pcpartpicker.com/product/zF4Zxr/msi-mag-a850gl-pcie5-850-w-80-gold-certified-fully-modular-atx-power-supply-mag-a850gl-pcie5,ATX,gold,850,Full,Black
Corsair RM850,119.99,https://pcpartpicker.com/product/9KGbt6/corsair-rm850-850-w-80-gold-certified-fully-modular-atx-power-supply-cp-9020232-na,ATX,gold,850,Full,White / Black
Thermaltake Smart,39.06,https://pcpartpicker.com/product/Wbhj4D/thermaltake-smart-500w-80-certified-atx-power-supply-ps-spd-0500npcwus-w,ATX,plus,500,false,
Asus ROG THOR 1600T Gaming,672.99,https://pcpartpicker.com/product/7m6p99/asus-rog-thor-1600t-gaming-1600-w-80-titanium-certified-fully-modular-atx-power-supply-90ye00k0-b0na00,ATX,titanium,1600,Full,Silver / Black
Corsair RM1000x (2021),139.99,https://pcpartpicker.com/product/jRvdnQ/corsair-rm1000x-2021-1000-w-80-gold-certified-fully-modular-atx-power-supply-cp-9020201-na,ATX,gold,1000,Full,Black
Corsair SF750 (2024),179.81,https://pcpartpicker.com/product/TsTZxr/corsair-sf750-2024-750-w-80-platinum-certified-fully-modular-sfx-power-supply-cp-9020284,SFX,platinum,750,Full,Black
Cooler Master MWE Gold 850 - V2,94.99,https://pcpartpicker.com/product/tWMTwP/cooler-master-mwe-gold-850-v2-850-w-80-gold-certified-fully-modular-atx-power-supply-mpe-8501-afaag-us,ATX,gold,850,Full,Black
Thermaltake Smart,44.99,https://pcpartpicker.com/product/6RTrxr/thermaltake-smart-600w-80-certified-semi-modular-atx-power-supply-ps-spd-0600npcwus-w,ATX,plus,600,false,
NZXT C850 (2022),99.99,https://pcpartpicker.com/product/YYZ9TW/nzxt-c850-2022-850-w-80-gold-certified-fully-modular-atx-power-supply-pa-8g1bb-us,ATX,gold,850,Full,Black
Cooler Master V SFX Gold ATX 3.0,104.99,https://pcpartpicker.com/product/kkbRsY/cooler-master-v-sfx-gold-atx-30-850-w-80-gold-certified-fully-modular-sfx-power-supply-mpy-8501-sfhagv-3us,SFX,gold,850,Full,Black
SeaSonic FOCUS GX-1000 ATX 3.0,199.9,https://pcpartpicker.com/product/W2zXsY/seasonic-focus-gx-1000-atx-30-1000-w-80-gold-certified-fully-modular-atx-power-supply-atx3-focus-gx-1000,ATX,gold,1000,Full,Black
Corsair CX (2023),74.98,https://pcpartpicker.com/product/NBYRsY/corsair-cx-2023-750-w-80-bronze-certified-atx-power-supply-cp-9020279-na,ATX,bronze,750,false,Black
Corsair CX (2023),64.98,https://pcpartpicker.com/product/nNTZxr/corsair-cx-2023-650-w-80-bronze-certified-atx-power-supply-cp-9020278-na,ATX,bronze,650,false,Black
Apevia Galaxy,54.99,https://pcpartpicker.com/product/cN26Mp/apevia-galaxy-650-w-80-gold-certified-semi-modular-atx-power-supply-atx-gx650w,ATX,gold,650,Semi,Black
