name,price,href,chipset,memory,core_clock,boost_clock,color,length
MSI GeForce RTX 3060 Ventus 2X 12G,269.98,https://pcpartpicker.com/product/pD8bt6/msi-geforce-rtx-3060-ventus-2x-12g-geforce-rtx-3060-12gb-12-gb-video-card-rtx3060ventus2x12goc,GeForce RTX 3060 12GB,12,1320,1777,Black,235
MSI VENTUS 2X BLACK OC,293,https://pcpartpicker.com/product/7s88TW/msi-ventus-2x-black-oc-geforce-rtx-4060-8-gb-video-card-rtx-4060-ventus-2x-black-8g-oc,GeForce RTX 4060,8,1830,2505,Black,199
Gigabyte WINDFORCE OC,599.99,https://pcpartpicker.com/product/HCkH99/gigabyte-windforce-oc-geforce-rtx-4070-super-12-gb-video-card-gv-n407swf3oc-12gd,GeForce RTX 4070 SUPER,12,1980,2505,Black,261
Gigabyte WINDFORCE OC,549.99,https://pcpartpicker.com/product/FnLdnQ/gigabyte-windforce-oc-geforce-rtx-4070-12-gb-video-card-gv-n4070wf3oc-12gd,GeForce RTX 4070,12,1920,2490,Black,261
Gigabyte EAGLE,179.99,https://pcpartpicker.com/product/G9ytt6/gigabyte-radeon-rx-6600-8-gb-eagle-video-card-gv-r66eagle-8gd,Radeon RX 6600,8,1626,2491,Black / Silver,282
Gigabyte GAMING OC,489.99,https://pcpartpicker.com/product/mHpQzy/gigabyte-gaming-oc-radeon-rx-7800-xt-16-gb-video-card-gv-r78xtgaming-oc-16gd,Radeon RX 7800 XT,16,1295,2565,Black,302
Asus ROG STRIX GAMING OC,,https://pcpartpicker.com/product/ZKWzK8/asus-rog-strix-gaming-oc-geforce-rtx-4090-24-gb-video-card-rog-strix-rtx4090-o24g-gaming,GeForce RTX 4090,24,2235,2640,Black,358
Gigabyte WINDFORCE OC,799.99,https://pcpartpicker.com/product/KvcgXL/gigabyte-windforce-oc-geforce-rtx-4070-ti-super-16-gb-video-card-gv-n407tswf3oc-16gd,GeForce RTX 4070 Ti SUPER,16,2340,2625,Black,261
Asus TUF GAMING,999.99,https://pcpartpicker.com/product/kppQzy/asus-tuf-gaming-geforce-rtx-4080-super-16-gb-video-card-tuf-rtx4080s-16g-gaming,GeForce RTX 4080 SUPER,16,2210,2580,Black,348
Gigabyte GAMING OC,399.99,https://pcpartpicker.com/product/VTFmP6/gigabyte-gaming-oc-radeon-rx-7700-xt-12-gb-video-card-gv-r77xtgaming-oc-12gd,Radeon RX 7700 XT,12,1700,2599,Black,302
